ico_name,ticker,platform,token,country,hardcap,softcap,raised,ih_hardcap,ih_softcap,ih_raised,bounty_status,facebook_status,twitter_status,bitcointalk_status,telegram_status,social_rating,profile_rating,team_rating_ib,team_rating_im,product_rating,vision_rating,icobench_rating,icomarks_rating,icobazaar_rating,aggregate_rating,date_ended
TRAFFICX,TFX,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,1.7,2.1,3.0,N/A,2017-08-24
uooMAG,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-09-30
Wild Crypto,WILD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,1,4,4,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2017-09-12
Momenteum,MMT,N/A,N/A,N/A,N/A,N/A,N/A,10000000,"
3 400 000.00",N/A,2,1,1,-,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-12-24
Bitcoin White,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2017-12-30
uooMAG,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-09-30
Wild Crypto,WILD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,1,4,4,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2017-09-12
Momenteum,MMT,N/A,N/A,N/A,N/A,N/A,N/A,10000000,"
3 400 000.00",N/A,2,1,1,-,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-12-24
Bitcoin White,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2017-12-30
Cryptoforecast,CFT,Omni,"Total supply:
50,000,000 CFT",Italy,N/A,100 BTC,19398412535696396,N/A,N/A,100,5,3,3,-,-,8,Benchy,N/A,1,N/A,N/A,-,-,-,2.1,2017-05-19
TOP,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,5,-,-,-,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-10-23
GreenMed,GRMD,N/A,N/A,N/A,"1,500,000,000","300,000,000",3858500,N/A,N/A,N/A,4,-,-,-,-,N/A,Benchy,N/A,N/A,N/A,N/A,-,-,-,3.0,2017-10-30
ASTRcoin,ASTR,Ethereum,ERC20,Hong Kong,N/A,N/A,Unknown,N/A,N/A,N/A,2,2,2,-,-,10,Benchy,2.1,8,1.8,2.1,2.4,8.0,2.2,2.4,2017-12-25
BTCWALL,TOKENS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,1,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,1.3,2.4,-,N/A,2017-12-31
Delphi Systems,,N/A,N/A,N/A,21000000,N/A,Unknown,N/A,N/A,100,1,-,-,-,-,N/A,Benchy,N/A,N/A,N/A,N/A,2.1,6.4,2.2,2.1,2017-12-15
Cyberx-Project,CX,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,2,2,-,-,N/A,N/A,N/A,N/A,N/A,N/A,1.7,4.2,1.9,N/A,2017-12-30
SHARPE CAPITAL,SHP,N/A,N/A,N/A,20000000,N/A,5708250,N/A,50000000,0,5,-,-,-,-,N/A,Benchy,4.2,N/A,3.9,4.1,-,-,-,3.4,2017-12-13
Unity Coin,UNTY,N/A,N/A,N/A,N/A,N/A,Unknown,N/A,N/A,N/A,-,-,-,-,-,N/A,Benchy,N/A,N/A,N/A,N/A,2.1,6.0,-,2.1,2017-12-19
Experimental Token,E11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,2,2,-,-,N/A,N/A,N/A,N/A,N/A,N/A,1.8,5.3,2.5,N/A,2017-09-28
Nebulas,NAS,N/A,N/A,N/A,60000000,N/A,60000000,N/A,N/A,N/A,-,5,5,-,3,N/A,Benchy,4.9,N/A,4.9,4.8,-,-,-,3.9,2017-12-16
Enigma,ENG,Ethereum,ERC-20,"Israel, USA",N/A,N/A,N/A,N/A,N/A,N/A,5,2,2,-,-,7,N/A,N/A,6,N/A,N/A,3.6,N/A,-,N/A,2017-09-21
Primas,PST,Ethereum,ERC20,Singapore,41000,N/A,12663260,N/A,N/A,100,-,3,3,-,1,7,Benchy,N/A,1,N/A,N/A,-,-,-,3.4,2017-08-26
Sociall (SCL),SCL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,3,3,-,1,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2017-09-15
Autonio,NIO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,3,5,5,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2017-10-10
CyberMiles,,N/A,N/A,N/A,"700,000,000",N/A,300000008414657270000,N/A,N/A,N/A,-,5,5,-,5,N/A,Benchy,N/A,N/A,N/A,N/A,-,-,-,3.2,2017-12-05
Zap,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,2,2,1,3,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2017-11-20
CRYX,CCX,Ethereum,ERC20,UK,N/A,N/A,N/A,N/A,N/A,N/A,1,-,-,-,-,6,Benchy,N/A,10,N/A,N/A,2.9,7.0,3.8,2.9,2017-11-05
Snovian.Space,,N/A,N/A,N/A,N/A,N/A,2129221,N/A,N/A,N/A,-,-,-,3,2,N/A,Benchy,N/A,N/A,N/A,N/A,3.0,8.3,-,3.0,2017-11-30
Snovian.Space,,N/A,N/A,N/A,N/A,N/A,2129221,N/A,N/A,N/A,-,-,-,3,2,N/A,Benchy,N/A,N/A,N/A,N/A,3.0,8.3,-,3.0,2017-11-30
Tio,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,2,2,-,-,N/A,N/A,N/A,N/A,N/A,N/A,2.8,6.0,3.2,N/A,2017-12-29
Tio,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,2,2,-,-,N/A,N/A,N/A,N/A,N/A,N/A,2.8,6.0,3.2,N/A,2017-12-29
Oxygen Trade (OXG),,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,2,2,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.4,-,N/A,2017-08-29
Explore Coin,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,2.8,4.0,-,N/A,2017-10-05
Katalyse,,Ethereum,"
12,500,000 KAT",Singapore,N/A,N/A,N/A,N/A,N/A,N/A,-,4,4,5,-,8,N/A,N/A,1,N/A,N/A,-,-,-,N/A,2017-07-31
ASTRA,,N/A,N/A,N/A,N/A,N/A,Unknown,N/A,N/A,N/A,-,-,-,-,1,N/A,Benchy,N/A,N/A,N/A,N/A,2.8,7.1,-,2.8,"Oct, 2017"
Space,SIO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,2.3,5.5,2.9,N/A,2017-11-15
WYRIFY ICO,WYR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,2.6,5.8,2.7,N/A,2017-10-14
MINEDOZER,MDZ,Ethereum,ERC-20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,2,2,1,-,6,N/A,N/A,1,N/A,N/A,N/A,4.4,-,N/A,2017-12-31
MINEDOZER,MDZ,Ethereum,ERC-20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,2,2,1,-,6,N/A,N/A,1,N/A,N/A,N/A,4.4,-,N/A,2017-12-31
PitisCoin,PITIS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,2.3,5.4,2.7,N/A,2017-11-30
PitisCoin,PITIS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,2.3,5.4,2.7,N/A,2017-11-30
Naked Dollars,NKD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10000000000,N/A,-,5,5,-,-,N/A,N/A,N/A,N/A,N/A,N/A,2.2,4.7,-,N/A,2017-12-05
Alphathereum,,N/A,N/A,N/A,9999999,N/A,Unknown,N/A,N/A,N/A,-,1,1,-,-,1,Benchy,N/A,1,N/A,N/A,2.7,2.4,-,2.7,"Oct, 2017"
Alphathereum,,N/A,N/A,N/A,9999999,N/A,Unknown,N/A,N/A,N/A,-,1,1,-,-,1,Benchy,N/A,1,N/A,N/A,2.7,2.4,-,2.7,"Oct, 2017"
Alphathereum,,N/A,N/A,N/A,9999999,N/A,Unknown,N/A,N/A,N/A,-,1,1,-,-,1,Benchy,N/A,1,N/A,N/A,2.7,2.4,-,2.7,"Oct, 2017"
Linda Healthcare,LNDA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,-,-,N/A,Benchy,1.0,N/A,1.0,1.0,2.0,3.9,-,2.0,2017-12-18
CryptoMuseum,WCMT,Ethereum,N/A,UK,16500,N/A,N/A,N/A,N/A,N/A,-,1,1,-,-,1,Benchy,N/A,5,N/A,N/A,2.3,3.2,2.0,2.3,2017-12-23
AOECOIN (AOE),,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-11-30
CryptoMuseum,WCMT,Ethereum,N/A,UK,16500,N/A,N/A,N/A,N/A,N/A,-,1,1,-,-,1,Benchy,N/A,5,N/A,N/A,2.3,3.2,2.0,2.3,2017-12-23
AOECOIN (AOE),,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-11-30
CTB,CTB,Ethereum,ERC20,Nigeria,N/A,N/A,N/A,N/A,N/A,N/A,-,2,2,-,-,8,N/A,N/A,8,N/A,N/A,2.2,6.5,-,N/A,2017-12-30
[NSFW] PCC,,Binance Chain,BEP-20,N/A,N/A,N/A,N/A,N/A,9500000,0,4,5,5,-,-,1,N/A,N/A,3,N/A,N/A,1.8,6.4,1.9,N/A,2017-11-20
HextraCoin,HXT,N/A,N/A,N/A,N/A,N/A,Unknown,N/A,N/A,N/A,-,4,4,-,-,10,Benchy,3.0,1,2.0,3.0,1.8,5.3,2.2,1.8,2017-10-30
HaggleJob,HGL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-10-01
HaggleJob,HGL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-10-01
KillingChainToken,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.7,-,N/A,2017-07-25
VV Coin,VVI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,-,1,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,"Sep, 2017"
KillingChainToken,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.7,-,N/A,2017-07-25
Ditry Coin,,N/A,N/A,N/A,"100,000,000",N/A,Unknown,N/A,N/A,N/A,-,1,1,-,-,N/A,Benchy,N/A,N/A,N/A,N/A,2.0,3.0,-,2.0,2017-12-25
GoMineWorld,GMW,Ethereum,ERC20,Israel,37000,8000,Unknown,N/A,N/A,N/A,-,1,1,-,-,4,Benchy,2.0,1,2.0,3.0,2.1,4.4,2.1,2.1,2017-11-07
Credo,,Ethereum,ERC20,USA,N/A,N/A,N/A,N/A,N/A,100,-,4,4,-,-,10,N/A,N/A,1,N/A,N/A,-,-,-,N/A,"Jan, 2017"
777.Bingo,,N/A,N/A,N/A,"2,500,000,000","1,000,000,000",N/A,N/A,N/A,N/A,-,2,2,-,2,N/A,Benchy,2.0,N/A,1.5,1.5,-,-,-,1.9,2017-07-20
FTB,FTB,N/A,N/A,N/A,N/A,N/A,N/A,468000000,"Cap
300 000.00",N/A,4,2,2,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-11-01
Mundus,MUNDUS COIN,Ethereum,ERC20,Taiwan,N/A,N/A,Unknown,N/A,N/A,N/A,-,1,1,-,-,1,Benchy,N/A,1,N/A,N/A,2.0,2.3,1.7,2.0,2017-10-30
Demeter,DME,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,2,2,-,-,N/A,N/A,N/A,N/A,N/A,N/A,1.7,4.4,-,N/A,2017-12-18
Jesus Coin,JC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,3,3,-,3,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2017-11-12
ebit Payment,EBIT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-12-22
CoinTube,CTB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-08-31
Zozo Real Estates Platform ICO,ZZC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2017-07-15
Zozo Real Estates Platform ICO,ZZC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2017-07-15
LEGALCOIN,LGC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,"Nov, 2017"
HUBCOIN,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-08-01
Rosenbridge Digital ICO,RDCR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-10-06
Rosenbridge Digital ICO,RDCR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-10-06
Blox (Former CoinDash),CDT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2017-08-17
Blox (Former CoinDash),CDT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2017-08-17
Slot N Slot,SLOT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-09-24
Bitcoineum,BTE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-08-19
FootballCoin,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,2,2,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2017-06-23
ETHINO,ENO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-08-06
Million Bitcoin Cash,MBCH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-11-10
TripCoin,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-11-28
LiveFeeds,XL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,750000000,N/A,-,1,1,1,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,"Nov, 2017"
BossToken,BOSS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,1,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-12-31
Biddercoin ICO,BDC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-11-25
Dealhub Network,DEAL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,"Jan, 2017"
LoopIn ICO,LIC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-10-10
Trendercoin,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,-,-,-,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-12-22
AmazingCoin,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-11-15
Giga Coin,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.2,-,N/A,2017-11-30
All In One Coins ICO,AIO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,-,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.1,-,N/A,2017-09-25
Zero Value,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-10-20
Amical Properties,AMI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.2,-,N/A,2017-12-01
Zero Value,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-10-20
Aleph Market,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.8,-,N/A,2017-10-31
Aleph Market,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.8,-,N/A,2017-10-31
Balance,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-09-27
711 token,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-09-05
BITRAD.IO,BRO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,2,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,"Apr, 2017"
Silkos,SLK,Ethereum,"
30,000,000 SLK (100%)",N/A,1200000,N/A,Unknown,N/A,N/A,N/A,1,1,1,-,-,6,Benchy,N/A,1,N/A,N/A,1.6,4.4,1.2,1.6,2017-11-26
ETHEREUM META,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,3,3,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2017-12-31
BTCMoon,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,2,2,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2017-10-30
SILC,SILC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-10-25
ZCash Gold,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,3,3,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2017-11-20
